,Goodreads_BookID,Genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,BookID
9047,581125,"['Science Fiction', 'Fiction', 'Short Stories', 'Dystopia', 'Classics', 'Mystery', 'Science Fiction Fantasy']",Science Fiction,Fiction,Short Stories,Dystopia,Classics,Mystery,Science Fiction Fantasy,9085
9048,227492,"['Fiction', 'African American', 'Romance', 'Adult', 'Contemporary', 'African American Romance', 'Urban']",Fiction,African American,Romance,Adult,Contemporary,African American Romance,Urban,9080
9049,1258121,"['Realistic Fiction', 'Middle Grade', 'Fiction', 'Childrens', 'Juvenile', 'Young Adult', 'Chapter Books']",Realistic Fiction,Middle Grade,Fiction,Childrens,Juvenile,Young Adult,Chapter Books,9087
9050,17348985,"['Mystery', 'Fiction', 'Horror', 'Paranormal', 'Thriller', 'Suspense', 'Mystery Thriller']",Mystery,Fiction,Horror,Paranormal,Thriller,Suspense,Mystery Thriller,9091
9051,7736086,"['Graphic Novels', 'Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Comics', 'Fiction']",Graphic Novels,Fantasy,Mythology,Young Adult,Middle Grade,Comics,Fiction,9093
9052,948526,"['Fantasy', 'Childrens', 'Fiction', 'Historical Fiction', 'Chapter Books', 'Adventure', 'Middle Grade']",Fantasy,Childrens,Fiction,Historical Fiction,Chapter Books,Adventure,Middle Grade,9088
9053,241387,"['Fiction', 'Christian Fiction', 'Christian', 'Audiobook', 'Contemporary', 'Inspirational', 'Book Club']",Fiction,Christian Fiction,Christian,Audiobook,Contemporary,Inspirational,Book Club,9096
9054,13620,"['Manga', 'Graphic Novels', 'Fantasy', 'Comics', 'Fiction', 'Mystery', 'Horror']",Manga,Graphic Novels,Fantasy,Comics,Fiction,Mystery,Horror,9092
9055,4566934,"['Romance', 'Indonesian Literature', 'Novels', 'Fiction', 'Young Adult', 'Contemporary', 'Chick Lit']",Romance,Indonesian Literature,Novels,Fiction,Young Adult,Contemporary,Chick Lit,9090
9056,13230263,"['Nonfiction', 'Memoir', 'Biography', 'History', 'Biography Memoir', 'Historical', 'Politics']",Nonfiction,Memoir,Biography,History,Biography Memoir,Historical,Politics,9094
9057,57736,"['Fiction', 'Sports', 'Baseball', 'Fantasy', 'Magical Realism', 'Classics', 'Historical Fiction']",Fiction,Sports,Baseball,Fantasy,Magical Realism,Classics,Historical Fiction,9095
9058,21913812,"['Nonfiction', 'Politics', 'Environment', 'Science', 'Economics', 'Climate Change', 'Sustainability']",Nonfiction,Politics,Environment,Science,Economics,Climate Change,Sustainability,9097
